date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,28,18,0.0,13.3,5,31,09:26 AM,10:13 PM,05:20 AM,07:02 PM,17,24,24,23,18,34,74,2.3,1012,28,9,180,8,pretoria-weather
2009-01-02,32,20,0.0,13.8,6,38,10:20 AM,10:43 PM,05:20 AM,07:03 PM,17,26,26,25,15,36,67,13.2,1013,32,9,134,7,pretoria-weather
2009-01-03,32,20,0.0,13.8,6,45,11:15 AM,11:15 PM,05:21 AM,07:03 PM,16,25,25,25,16,25,62,5.7,1012,32,10,239,9,pretoria-weather
2009-01-04,32,20,0.0,13.8,7,52,12:11 PM,11:49 PM,05:22 AM,07:03 PM,14,26,26,25,15,6,54,0.5,1011,32,10,224,7,pretoria-weather
2009-01-05,31,19,0.0,13.3,5,60,01:11 PM,No moonset,05:22 AM,07:03 PM,17,26,26,24,21,30,67,4.9,1013,31,10,151,9,pretoria-weather
2009-01-06,31,19,0.0,13.8,7,67,02:15 PM,12:27 AM,05:23 AM,07:03 PM,17,26,26,25,13,18,65,0.0,1012,31,9,226,6,pretoria-weather
2009-01-07,33,19,0.0,13.8,7,74,03:24 PM,01:12 AM,05:24 AM,07:03 PM,16,27,27,27,11,12,54,0.0,1011,33,10,154,5,pretoria-weather
2009-01-08,33,23,0.0,13.8,7,82,04:33 PM,02:05 AM,05:25 AM,07:04 PM,16,28,28,28,17,19,50,0.0,1013,33,10,69,8,pretoria-weather
2009-01-09,32,21,0.0,12.1,6,89,05:40 PM,03:06 AM,05:25 AM,07:04 PM,17,27,27,26,12,40,57,3.1,1013,32,10,64,6,pretoria-weather
2009-01-10,26,21,0.0,11.0,5,96,06:41 PM,04:15 AM,05:26 AM,07:04 PM,20,25,25,23,12,73,80,16.4,1012,26,8,142,5,pretoria-weather
2009-01-11,25,20,0.0,9.8,5,100,07:35 PM,05:27 AM,05:27 AM,07:04 PM,20,22,23,22,15,65,92,14.3,1011,25,7,157,6,pretoria-weather
2009-01-12,24,20,0.0,9.8,5,89,08:20 PM,06:39 AM,05:28 AM,07:04 PM,20,22,23,22,12,61,88,29.0,1011,24,8,191,4,pretoria-weather
2009-01-13,28,19,0.0,13.3,5,82,09:00 PM,07:47 AM,05:28 AM,07:04 PM,19,25,25,23,10,37,77,2.6,1012,28,8,226,4,pretoria-weather
2009-01-14,29,19,0.0,13.8,5,75,09:36 PM,08:51 AM,05:29 AM,07:04 PM,19,26,26,24,14,39,69,3.3,1011,29,9,124,5,pretoria-weather
2009-01-15,28,20,0.0,13.3,5,68,10:09 PM,09:51 AM,05:30 AM,07:04 PM,17,25,25,24,20,19,66,0.3,1013,28,10,98,11,pretoria-weather
2009-01-16,30,19,0.0,13.7,6,60,10:42 PM,10:49 AM,05:31 AM,07:04 PM,17,26,26,25,10,16,58,0.0,1012,30,10,181,4,pretoria-weather
2009-01-17,32,21,0.0,13.7,7,53,11:16 PM,11:46 AM,05:31 AM,07:03 PM,17,28,28,27,11,15,51,0.1,1010,32,10,114,5,pretoria-weather
2009-01-18,28,22,0.0,13.3,5,46,11:51 PM,12:42 PM,05:32 AM,07:03 PM,19,26,26,24,12,28,75,7.0,1012,28,9,170,5,pretoria-weather
2009-01-19,29,20,0.0,10.9,5,38,No moonrise,01:38 PM,05:33 AM,07:03 PM,19,26,26,24,14,41,69,0.6,1012,29,9,190,7,pretoria-weather
2009-01-20,28,20,0.0,12.1,5,31,12:29 AM,02:33 PM,05:34 AM,07:03 PM,19,24,24,23,17,50,79,6.4,1013,28,10,139,7,pretoria-weather
2009-01-21,28,19,0.0,12.1,5,24,01:12 AM,03:28 PM,05:35 AM,07:03 PM,17,24,24,23,15,37,73,0.5,1013,28,9,219,7,pretoria-weather
2009-01-22,27,18,0.0,13.3,5,17,01:59 AM,04:20 PM,05:35 AM,07:02 PM,18,23,23,22,18,35,77,4.7,1012,27,9,207,8,pretoria-weather
2009-01-23,28,19,0.0,13.3,5,9,02:49 AM,05:09 PM,05:36 AM,07:02 PM,17,24,24,23,14,20,69,0.3,1010,28,10,283,7,pretoria-weather
2009-01-24,29,19,0.0,13.3,5,2,03:43 AM,05:54 PM,05:37 AM,07:02 PM,17,25,25,23,14,27,69,0.8,1012,29,10,160,6,pretoria-weather
2009-01-25,28,20,0.0,13.3,5,0,04:37 AM,06:34 PM,05:38 AM,07:01 PM,19,24,24,23,12,46,78,3.4,1014,28,8,113,5,pretoria-weather
2009-01-26,28,19,0.0,13.3,5,0,05:33 AM,07:11 PM,05:39 AM,07:01 PM,18,25,25,24,14,23,73,0.2,1015,28,9,83,6,pretoria-weather
2009-01-27,29,19,0.0,13.6,5,5,06:28 AM,07:45 PM,05:39 AM,07:01 PM,19,24,24,23,16,38,77,3.9,1014,29,10,181,8,pretoria-weather
2009-01-28,24,19,0.0,9.7,5,12,07:22 AM,08:16 PM,05:40 AM,07:00 PM,19,21,22,21,18,73,89,24.0,1014,24,8,75,9,pretoria-weather
2009-01-29,24,17,0.0,9.7,4,20,08:16 AM,08:47 PM,05:41 AM,07:00 PM,19,20,20,20,21,81,95,87.3,1013,24,7,134,8,pretoria-weather
2009-01-30,23,19,0.0,12.1,5,27,09:10 AM,09:18 PM,05:42 AM,07:00 PM,20,21,22,21,11,62,94,19.0,1013,23,8,123,5,pretoria-weather
2009-01-31,24,19,0.0,12.0,5,31,10:06 AM,09:51 PM,05:42 AM,06:59 PM,19,21,22,21,14,47,88,10.2,1013,24,7,85,7,pretoria-weather
2009-02-01,25,18,0.0,13.2,5,43,11:04 AM,10:26 PM,05:43 AM,06:59 PM,17,21,22,21,12,29,80,0.4,1014,25,8,57,7,pretoria-weather
2009-02-02,28,16,0.0,10.7,5,50,12:05 PM,11:07 PM,05:44 AM,06:58 PM,17,22,23,22,11,38,74,2.1,1013,28,9,186,4,pretoria-weather
2009-02-03,27,18,0.0,12.0,5,58,01:09 PM,11:55 PM,05:45 AM,06:58 PM,19,23,23,22,12,35,80,5.8,1012,27,9,271,6,pretoria-weather
2009-02-04,22,18,0.0,10.7,4,66,02:15 PM,No moonset,05:45 AM,06:57 PM,17,20,20,20,22,63,84,13.5,1016,22,10,125,12,pretoria-weather
2009-02-05,22,17,0.0,12.0,4,73,03:21 PM,12:50 AM,05:46 AM,06:56 PM,16,19,20,19,20,62,81,4.9,1021,22,10,92,10,pretoria-weather
2009-02-06,27,17,0.0,13.1,6,81,04:23 PM,01:53 AM,05:47 AM,06:56 PM,15,21,22,21,17,28,70,0.0,1020,27,10,101,10,pretoria-weather
2009-02-07,28,15,0.0,13.1,6,88,05:19 PM,03:02 AM,05:47 AM,06:55 PM,13,20,21,20,14,12,65,0.0,1018,28,10,115,6,pretoria-weather
2009-02-08,26,16,0.0,13.1,5,96,06:08 PM,04:13 AM,05:48 AM,06:55 PM,15,21,21,21,13,19,70,0.3,1014,26,10,213,7,pretoria-weather
2009-02-09,25,18,0.0,12.0,5,100,06:51 PM,05:22 AM,05:49 AM,06:54 PM,18,22,23,22,17,50,81,4.0,1016,25,9,221,8,pretoria-weather
2009-02-10,26,19,0.0,12.0,5,89,07:29 PM,06:29 AM,05:50 AM,06:53 PM,19,22,23,22,14,47,84,7.4,1015,26,9,138,8,pretoria-weather
2009-02-11,25,18,0.0,10.7,5,82,08:04 PM,07:32 AM,05:50 AM,06:53 PM,18,21,22,21,15,72,87,30.4,1017,25,6,147,8,pretoria-weather
2009-02-12,23,14,0.0,12.0,4,74,08:38 PM,08:32 AM,05:51 AM,06:52 PM,15,18,18,18,24,63,85,24.5,1021,23,6,94,12,pretoria-weather
2009-02-13,26,15,0.0,13.0,5,67,09:12 PM,09:32 AM,05:52 AM,06:51 PM,15,20,20,20,14,17,74,0.0,1017,26,10,175,7,pretoria-weather
2009-02-14,27,16,0.0,13.0,6,59,09:48 PM,10:29 AM,05:52 AM,06:50 PM,14,21,22,21,10,6,67,0.0,1014,27,10,215,5,pretoria-weather
2009-02-15,28,17,0.0,13.0,5,51,10:26 PM,11:27 AM,05:53 AM,06:50 PM,15,23,23,22,12,19,64,0.1,1013,28,10,213,5,pretoria-weather
2009-02-16,29,18,0.0,13.0,6,44,11:08 PM,12:24 PM,05:54 AM,06:49 PM,17,24,24,23,14,13,72,0.0,1012,29,9,186,8,pretoria-weather
2009-02-17,29,19,0.0,12.9,5,36,11:53 PM,01:20 PM,05:54 AM,06:48 PM,19,24,24,23,15,24,79,2.1,1014,29,9,129,7,pretoria-weather
2009-02-18,27,19,0.0,11.9,5,29,No moonrise,02:13 PM,05:55 AM,06:47 PM,19,24,24,23,9,39,82,0.6,1014,27,10,201,4,pretoria-weather
2009-02-19,29,18,0.0,12.9,6,21,12:42 AM,03:04 PM,05:55 AM,06:46 PM,18,24,24,23,10,19,76,0.0,1013,29,9,189,4,pretoria-weather
2009-02-20,29,19,0.0,12.9,6,14,01:35 AM,03:50 PM,05:56 AM,06:45 PM,17,24,24,23,17,17,75,0.0,1015,29,9,66,8,pretoria-weather
2009-02-21,29,19,0.0,12.9,5,6,02:29 AM,04:32 PM,05:57 AM,06:45 PM,17,24,24,23,15,26,74,1.9,1016,29,10,132,7,pretoria-weather
2009-02-22,30,17,0.0,11.9,5,0,03:25 AM,05:10 PM,05:57 AM,06:44 PM,16,23,23,23,15,44,68,8.7,1013,30,10,172,8,pretoria-weather
2009-02-23,25,18,0.0,12.9,5,0,04:20 AM,05:45 PM,05:58 AM,06:43 PM,15,21,22,21,29,37,71,1.2,1018,25,10,101,16,pretoria-weather
2009-02-24,22,17,0.0,8.0,4,0,05:15 AM,06:17 PM,05:58 AM,06:42 PM,16,19,20,19,18,67,81,8.4,1019,22,9,126,9,pretoria-weather
2009-02-25,26,18,0.0,12.8,6,1,06:09 AM,06:49 PM,05:59 AM,06:41 PM,17,21,22,21,11,30,80,0.2,1018,26,9,113,5,pretoria-weather
2009-02-26,27,17,0.0,12.4,5,9,07:05 AM,07:20 PM,06:00 AM,06:40 PM,17,22,22,22,11,27,79,0.4,1014,27,9,233,6,pretoria-weather
2009-02-27,26,18,0.0,10.4,5,16,08:01 AM,07:53 PM,06:00 AM,06:39 PM,18,21,22,21,13,57,82,6.7,1013,26,7,207,6,pretoria-weather
2009-02-28,24,18,0.0,8.9,5,24,08:59 AM,08:28 PM,06:01 AM,06:38 PM,19,21,22,21,13,64,89,10.9,1013,24,7,128,7,pretoria-weather
2009-03-01,25,17,0.0,10.2,5,30,09:59 AM,09:07 PM,06:01 AM,06:37 PM,16,21,22,21,19,34,75,3.8,1016,25,8,112,11,pretoria-weather
2009-03-02,26,15,0.0,10.2,5,37,11:02 AM,09:52 PM,06:02 AM,06:36 PM,15,21,22,21,14,28,68,0.3,1017,26,10,88,6,pretoria-weather
2009-03-03,27,17,0.0,7.5,5,45,12:07 PM,10:44 PM,06:02 AM,06:35 PM,16,22,22,22,12,38,68,1.0,1016,27,10,124,5,pretoria-weather
2009-03-04,26,18,0.0,11.6,6,52,01:12 PM,11:43 PM,06:03 AM,06:34 PM,15,22,22,22,19,19,67,0.0,1018,26,10,114,11,pretoria-weather
2009-03-05,25,16,0.0,11.6,5,59,02:13 PM,No moonset,06:03 AM,06:33 PM,12,20,20,20,25,12,63,0.0,1021,25,10,102,14,pretoria-weather
2009-03-06,26,15,0.0,11.6,5,67,03:09 PM,12:47 AM,06:04 AM,06:32 PM,11,20,20,20,18,9,62,0.0,1020,26,10,92,9,pretoria-weather
2009-03-07,27,14,0.0,11.6,6,74,03:59 PM,01:55 AM,06:04 AM,06:31 PM,13,20,21,20,12,14,65,0.0,1017,27,10,240,6,pretoria-weather
2009-03-08,28,15,0.0,11.6,6,81,04:43 PM,03:03 AM,06:05 AM,06:30 PM,13,21,22,21,10,9,65,0.0,1017,28,10,249,5,pretoria-weather
2009-03-09,27,17,0.0,10.2,5,88,05:23 PM,04:09 AM,06:05 AM,06:29 PM,14,21,22,21,14,28,67,2.3,1018,27,10,146,7,pretoria-weather
2009-03-10,25,17,0.0,11.6,6,96,05:59 PM,05:13 AM,06:06 AM,06:28 PM,16,20,21,20,11,43,79,0.2,1018,25,9,184,4,pretoria-weather
2009-03-11,25,17,0.0,8.9,5,100,06:33 PM,06:14 AM,06:06 AM,06:27 PM,16,21,22,21,8,35,77,1.5,1015,25,9,232,4,pretoria-weather
2009-03-12,27,17,0.0,11.6,6,90,07:07 PM,07:14 AM,06:07 AM,06:26 PM,15,22,22,22,15,19,74,0.0,1014,27,10,102,7,pretoria-weather
2009-03-13,26,18,0.0,11.6,5,83,07:43 PM,08:13 AM,06:07 AM,06:25 PM,17,21,22,21,12,40,78,1.4,1014,26,8,150,7,pretoria-weather
2009-03-14,26,17,0.0,11.6,5,75,08:20 PM,09:12 AM,06:08 AM,06:24 PM,16,21,22,21,15,37,76,12.7,1016,26,9,151,8,pretoria-weather
2009-03-15,23,17,0.0,8.8,4,68,09:01 PM,10:10 AM,06:08 AM,06:23 PM,15,19,20,19,13,57,74,8.4,1018,23,10,105,7,pretoria-weather
2009-03-16,25,15,0.0,10.2,4,61,09:46 PM,11:08 AM,06:09 AM,06:22 PM,15,20,20,20,13,23,73,0.1,1014,25,10,229,6,pretoria-weather
2009-03-17,27,15,0.0,11.6,5,53,10:34 PM,12:03 PM,06:09 AM,06:21 PM,15,21,21,21,15,26,72,7.8,1010,27,10,213,8,pretoria-weather
2009-03-18,24,16,0.0,7.4,4,46,11:26 PM,12:56 PM,06:10 AM,06:20 PM,16,19,20,19,18,70,82,18.7,1011,24,9,141,9,pretoria-weather
2009-03-19,23,16,0.0,8.8,4,39,No moonrise,01:44 PM,06:10 AM,06:19 PM,16,19,20,19,13,46,80,18.6,1011,23,10,124,5,pretoria-weather
2009-03-20,25,15,0.0,10.2,4,32,12:20 AM,02:27 PM,06:11 AM,06:18 PM,15,20,20,20,13,30,73,1.1,1014,25,10,161,6,pretoria-weather
2009-03-21,25,15,0.0,10.2,4,24,01:15 AM,03:07 PM,06:11 AM,06:17 PM,14,19,20,19,13,22,67,0.1,1018,25,10,158,6,pretoria-weather
2009-03-22,24,15,0.0,10.2,4,17,02:10 AM,03:43 PM,06:12 AM,06:16 PM,14,19,20,19,10,39,68,0.5,1018,24,9,217,5,pretoria-weather
2009-03-23,27,16,0.0,11.6,6,10,03:05 AM,04:16 PM,06:12 AM,06:15 PM,12,21,21,21,9,8,54,0.0,1016,27,10,198,5,pretoria-weather
2009-03-24,27,16,0.0,11.6,6,3,03:59 AM,04:48 PM,06:13 AM,06:14 PM,12,21,21,21,11,11,58,0.0,1015,27,10,207,6,pretoria-weather
2009-03-25,28,17,0.0,11.6,6,0,04:54 AM,05:20 PM,06:13 AM,06:13 PM,13,22,22,22,11,12,52,0.0,1016,28,10,252,6,pretoria-weather
2009-03-26,29,18,0.0,11.6,6,0,05:51 AM,05:53 PM,06:13 AM,06:12 PM,13,24,24,24,10,8,44,0.0,1016,29,10,227,5,pretoria-weather
2009-03-27,28,18,0.0,11.6,6,5,06:49 AM,06:27 PM,06:14 AM,06:11 PM,12,23,23,22,12,11,52,0.0,1016,28,10,160,6,pretoria-weather
2009-03-28,29,16,0.0,11.6,6,12,07:50 AM,07:06 PM,06:14 AM,06:10 PM,11,23,23,23,12,5,45,0.0,1017,29,10,164,6,pretoria-weather
2009-03-29,27,17,0.0,11.6,6,19,08:53 AM,07:50 PM,06:15 AM,06:09 PM,10,22,22,22,19,5,51,0.0,1019,27,10,92,10,pretoria-weather
2009-03-30,27,16,0.0,11.6,6,26,09:59 AM,08:41 PM,06:15 AM,06:07 PM,13,21,22,21,15,6,63,0.0,1019,27,10,101,7,pretoria-weather
2009-03-31,29,15,0.0,11.6,6,30,11:05 AM,09:38 PM,06:16 AM,06:06 PM,13,22,22,22,11,8,58,0.0,1016,29,9,218,6,pretoria-weather
2009-04-01,28,17,0.0,11.6,6,42,12:07 PM,10:41 PM,06:16 AM,06:05 PM,13,22,22,22,16,16,60,0.0,1018,28,10,69,8,pretoria-weather
2009-04-02,28,15,0.0,11.6,6,50,01:05 PM,11:47 PM,06:17 AM,06:04 PM,12,21,22,21,11,15,57,0.0,1019,28,10,166,5,pretoria-weather
2009-04-03,25,16,0.0,11.6,6,58,01:56 PM,No moonset,06:17 AM,06:03 PM,11,20,21,20,20,12,59,0.0,1022,25,10,73,12,pretoria-weather
2009-04-04,24,12,0.0,11.6,5,65,02:40 PM,12:53 AM,06:17 AM,06:02 PM,10,18,19,18,13,6,61,0.0,1022,24,10,70,6,pretoria-weather
2009-04-05,26,12,0.0,11.6,5,73,03:20 PM,01:58 AM,06:18 AM,06:01 PM,11,19,19,19,12,7,63,0.0,1021,26,10,227,6,pretoria-weather
2009-04-06,28,14,0.0,11.6,6,80,03:56 PM,03:01 AM,06:18 AM,06:00 PM,11,21,22,21,16,16,56,0.0,1019,28,10,217,9,pretoria-weather
2009-04-07,25,17,0.0,8.7,6,88,04:30 PM,04:01 AM,06:19 AM,05:59 PM,12,21,22,21,27,19,58,0.0,1022,25,10,93,15,pretoria-weather
2009-04-08,26,14,0.0,8.7,5,95,05:04 PM,05:00 AM,06:19 AM,05:58 PM,10,19,20,19,13,10,57,0.0,1021,26,10,169,6,pretoria-weather
2009-04-09,27,15,0.0,8.7,6,100,05:39 PM,05:59 AM,06:20 AM,05:57 PM,10,21,21,21,14,12,50,0.0,1018,27,10,186,7,pretoria-weather
2009-04-10,26,17,0.0,8.7,6,90,06:15 PM,06:58 AM,06:20 AM,05:56 PM,9,21,21,21,17,15,52,0.0,1020,26,10,88,9,pretoria-weather
2009-04-11,25,14,0.0,8.7,5,82,06:55 PM,07:57 AM,06:21 AM,05:55 PM,11,19,19,19,14,9,62,0.0,1022,25,10,228,8,pretoria-weather
2009-04-12,28,13,0.0,8.7,6,75,07:39 PM,08:55 AM,06:21 AM,05:55 PM,8,20,20,20,17,3,48,0.0,1018,28,10,244,9,pretoria-weather
2009-04-13,29,13,0.0,8.7,6,67,08:26 PM,09:52 AM,06:22 AM,05:54 PM,6,20,20,20,16,3,42,0.0,1018,29,10,148,8,pretoria-weather
2009-04-14,23,14,0.0,7.2,4,59,09:17 PM,10:46 AM,06:22 AM,05:53 PM,13,18,18,18,16,48,78,0.0,1023,23,10,111,7,pretoria-weather
2009-04-15,25,13,0.0,8.7,4,52,10:10 PM,11:36 AM,06:22 AM,05:52 PM,12,18,19,18,12,32,71,0.0,1024,25,8,179,6,pretoria-weather
2009-04-16,27,14,0.0,8.7,5,44,11:05 PM,12:21 PM,06:23 AM,05:51 PM,10,19,20,19,12,5,59,0.0,1022,27,9,102,7,pretoria-weather
2009-04-17,24,12,0.0,8.7,5,37,11:59 PM,01:02 PM,06:23 AM,05:50 PM,10,18,18,18,12,13,68,0.0,1020,24,9,217,6,pretoria-weather
2009-04-18,25,12,0.0,8.7,5,29,No moonrise,01:40 PM,06:24 AM,05:49 PM,9,18,19,18,13,2,58,0.0,1017,25,10,233,6,pretoria-weather
2009-04-19,27,13,0.0,8.7,5,22,12:53 AM,02:13 PM,06:24 AM,05:48 PM,6,19,19,19,13,2,43,0.0,1017,27,10,249,7,pretoria-weather
2009-04-20,28,15,0.0,8.7,6,14,01:48 AM,02:45 PM,06:25 AM,05:47 PM,6,21,21,21,12,4,38,0.0,1017,28,10,216,6,pretoria-weather
2009-04-21,20,15,0.0,8.7,5,7,02:42 AM,03:17 PM,06:25 AM,05:46 PM,10,17,17,17,28,52,67,0.2,1024,20,9,77,17,pretoria-weather
2009-04-22,18,12,0.0,8.7,3,0,03:37 AM,03:49 PM,06:26 AM,05:45 PM,8,14,15,14,21,44,71,0.0,1025,18,10,38,11,pretoria-weather
2009-04-23,21,10,0.0,8.7,5,0,04:34 AM,04:23 PM,06:26 AM,05:45 PM,9,15,15,15,15,31,74,0.0,1022,21,8,37,7,pretoria-weather
2009-04-24,23,11,0.0,8.7,5,0,05:35 AM,05:01 PM,06:27 AM,05:44 PM,10,17,17,17,11,15,70,0.0,1019,23,10,191,5,pretoria-weather
2009-04-25,24,13,0.0,8.7,5,1,06:38 AM,05:44 PM,06:27 AM,05:43 PM,10,18,18,18,15,10,62,0.0,1016,24,10,194,8,pretoria-weather
2009-04-26,24,12,0.0,8.7,5,8,07:45 AM,06:33 PM,06:28 AM,05:42 PM,5,18,18,18,21,3,48,0.0,1014,24,10,200,11,pretoria-weather
2009-04-27,23,10,0.0,8.7,5,16,08:52 AM,07:30 PM,06:28 AM,05:41 PM,4,15,16,15,13,0,48,0.0,1017,23,10,222,7,pretoria-weather
2009-04-28,24,10,0.0,8.7,5,23,09:58 AM,08:32 PM,06:29 AM,05:40 PM,5,16,17,16,13,8,49,0.0,1019,24,10,178,8,pretoria-weather
2009-04-29,25,10,0.0,8.7,5,31,10:59 AM,09:40 PM,06:29 AM,05:40 PM,5,18,18,18,11,8,45,0.0,1019,25,10,217,6,pretoria-weather
2009-04-30,27,14,0.0,8.7,5,38,11:53 AM,10:47 PM,06:30 AM,05:39 PM,6,20,20,20,13,4,48,0.0,1015,27,10,222,7,pretoria-weather
2009-05-01,23,13,0.0,7.2,4,44,12:39 PM,11:52 PM,06:30 AM,05:38 PM,8,17,18,17,17,22,62,0.0,1013,23,10,217,9,pretoria-weather
2009-05-02,22,12,0.0,7.2,4,52,01:21 PM,No moonset,06:31 AM,05:38 PM,11,16,16,16,12,25,75,1.5,1014,22,10,226,5,pretoria-weather
2009-05-03,21,13,0.0,7.2,4,59,01:57 PM,12:55 AM,06:31 AM,05:37 PM,11,17,17,17,13,34,66,3.4,1017,21,10,166,6,pretoria-weather
2009-05-04,24,12,0.0,8.7,4,66,02:31 PM,01:55 AM,06:32 AM,05:36 PM,10,17,17,17,14,23,64,1.4,1018,24,10,195,7,pretoria-weather
2009-05-05,24,13,0.0,8.7,5,73,03:05 PM,02:53 AM,06:32 AM,05:35 PM,10,18,19,18,13,9,59,0.0,1017,24,10,167,7,pretoria-weather
2009-05-06,24,14,0.0,8.7,4,81,03:38 PM,03:51 AM,06:33 AM,05:35 PM,11,18,19,18,17,24,61,3.8,1016,24,10,211,8,pretoria-weather
2009-05-07,23,15,0.0,7.2,4,88,04:13 PM,04:48 AM,06:33 AM,05:34 PM,11,18,19,18,17,13,57,0.4,1015,23,10,200,8,pretoria-weather
2009-05-08,24,12,0.0,8.7,5,95,04:52 PM,05:46 AM,06:34 AM,05:33 PM,6,17,17,17,14,2,44,0.0,1017,24,10,188,7,pretoria-weather
2009-05-09,19,11,0.0,4.1,3,100,05:34 PM,06:44 AM,06:34 AM,05:33 PM,10,15,15,15,18,58,70,7.7,1021,19,10,146,8,pretoria-weather
2009-05-10,20,9,0.0,7.2,3,100,06:19 PM,07:42 AM,06:35 AM,05:32 PM,7,13,14,13,11,21,63,0.3,1021,20,10,196,6,pretoria-weather
2009-05-11,20,9,0.0,8.7,4,83,07:09 PM,08:36 AM,06:35 AM,05:32 PM,7,14,14,14,11,10,65,0.0,1021,20,10,235,6,pretoria-weather
2009-05-12,22,10,0.0,8.7,4,76,08:02 PM,09:29 AM,06:36 AM,05:31 PM,7,15,15,15,8,8,57,0.0,1023,22,10,202,4,pretoria-weather
2009-05-13,21,10,0.0,8.7,4,68,08:56 PM,10:16 AM,06:36 AM,05:31 PM,8,14,15,14,14,8,62,0.0,1024,21,10,87,8,pretoria-weather
2009-05-14,20,10,0.0,8.7,4,61,09:51 PM,10:58 AM,06:37 AM,05:30 PM,7,14,14,14,13,5,60,0.0,1022,20,10,159,6,pretoria-weather
2009-05-15,21,9,0.0,8.7,4,54,10:44 PM,11:37 AM,06:37 AM,05:30 PM,7,14,14,14,11,5,65,0.0,1019,21,10,207,5,pretoria-weather
2009-05-16,19,10,0.0,7.2,3,47,11:38 PM,12:11 PM,06:38 AM,05:29 PM,8,15,15,15,11,22,66,1.1,1016,19,10,164,7,pretoria-weather
2009-05-17,20,10,0.0,8.7,4,39,No moonrise,12:43 PM,06:38 AM,05:29 PM,4,14,15,14,24,3,53,0.0,1015,20,10,247,12,pretoria-weather
2009-05-18,20,6,0.0,8.7,4,32,12:30 AM,01:15 PM,06:39 AM,05:28 PM,2,12,13,12,14,0,47,0.0,1019,20,10,224,8,pretoria-weather
2009-05-19,23,8,0.0,8.7,4,25,01:24 AM,01:46 PM,06:40 AM,05:28 PM,4,14,15,14,12,0,52,0.0,1022,23,10,207,6,pretoria-weather
2009-05-20,21,9,0.0,8.7,3,17,02:19 AM,02:18 PM,06:40 AM,05:27 PM,9,14,15,14,21,22,72,0.0,1026,21,10,62,10,pretoria-weather
2009-05-21,18,9,0.0,7.2,3,10,03:17 AM,02:54 PM,06:41 AM,05:27 PM,9,13,13,13,15,42,80,0.0,1027,18,9,60,7,pretoria-weather
2009-05-22,20,10,0.0,8.7,4,3,04:18 AM,03:34 PM,06:41 AM,05:27 PM,7,15,15,15,12,7,66,0.0,1024,20,10,210,6,pretoria-weather
2009-05-23,23,9,0.0,8.7,5,0,05:24 AM,04:20 PM,06:42 AM,05:26 PM,6,15,16,15,12,6,54,0.0,1022,23,10,187,6,pretoria-weather
2009-05-24,22,10,0.0,8.7,5,0,06:32 AM,05:15 PM,06:42 AM,05:26 PM,6,16,16,16,12,4,53,0.0,1021,22,10,214,7,pretoria-weather
2009-05-25,24,11,0.0,8.7,5,4,07:41 AM,06:16 PM,06:43 AM,05:26 PM,3,16,16,16,17,1,43,0.0,1020,24,10,187,9,pretoria-weather
2009-05-26,24,10,0.0,8.7,5,11,08:46 AM,07:25 PM,06:43 AM,05:25 PM,1,16,16,16,14,0,37,0.0,1020,24,10,187,7,pretoria-weather
2009-05-27,22,9,0.0,8.7,5,19,09:45 AM,08:34 PM,06:44 AM,05:25 PM,2,15,15,15,13,2,42,0.0,1019,22,10,230,7,pretoria-weather
2009-05-28,23,9,0.0,8.7,5,26,10:35 AM,09:43 PM,06:44 AM,05:25 PM,4,15,16,15,13,5,50,0.0,1017,23,10,241,7,pretoria-weather
2009-05-29,23,9,0.0,8.7,5,33,11:19 AM,10:48 PM,06:45 AM,05:25 PM,4,16,16,16,17,5,49,0.0,1015,23,10,313,9,pretoria-weather
2009-05-30,22,10,0.0,8.7,4,40,11:58 AM,11:50 PM,06:45 AM,05:25 PM,2,15,15,15,19,2,43,0.0,1015,22,10,234,10,pretoria-weather
2009-05-31,19,7,0.0,8.7,4,44,12:33 PM,No moonset,06:46 AM,05:24 PM,-4,12,12,12,20,0,34,0.0,1018,19,10,226,11,pretoria-weather
2009-06-01,20,5,0.0,8.7,4,57,01:07 PM,12:48 AM,06:46 AM,05:24 PM,-3,11,12,11,18,3,38,0.0,1019,20,10,218,9,pretoria-weather
2009-06-02,21,5,0.0,8.7,4,65,01:40 PM,01:46 AM,06:46 AM,05:24 PM,-2,13,13,13,14,14,36,0.0,1019,21,10,240,7,pretoria-weather
2009-06-03,22,8,0.0,8.7,4,72,02:14 PM,02:43 AM,06:47 AM,05:24 PM,-0,14,14,14,14,3,40,0.0,1020,22,10,236,8,pretoria-weather
2009-06-04,23,7,0.0,8.7,4,80,02:51 PM,03:40 AM,06:47 AM,05:24 PM,-1,15,15,15,14,5,35,0.0,1021,23,10,238,8,pretoria-weather
2009-06-05,23,9,0.0,8.7,4,87,03:31 PM,04:37 AM,06:48 AM,05:24 PM,-3,14,15,14,15,6,30,0.0,1021,23,10,236,8,pretoria-weather
2009-06-06,24,8,0.0,5.6,4,95,04:15 PM,05:34 AM,06:48 AM,05:24 PM,-0,16,16,16,13,31,36,0.0,1017,24,10,286,7,pretoria-weather
